"gene_id","gene_name","effect","signed_rank_effect","mean_log2_fc","p_exact","q_storey","rank","existing_q_lt_0_10","direction"
"ENSG00000113083.15","LOX",0.0388888888888889,-0.922222222222222,-1.4351726452541,4.0267236390537e-06,0.0373196746867497,1,TRUE,"lower_in_High"
"ENSG00000126249.8","PDCD2L",0.0666666666666667,-0.866666666666667,-0.434102787904347,1.99035197016083e-05,0.0793079109945445,2,TRUE,"lower_in_High"
"ENSG00000160325.15","CACFD1",0.916666666666667,0.833333333333333,0.661923294125095,4.87808806559648e-05,0.0793079109945445,3,TRUE,"higher_in_High"
"ENSG00000159685.11","CHCHD6",0.911111111111111,0.822222222222222,0.445152135617903,7.06402375536849e-05,0.0793079109945445,4,TRUE,"higher_in_High"
"ENSG00000160124.9","CCDC58",0.0888888888888889,-0.822222222222222,-0.344310513046768,7.65077491420202e-05,0.0793079109945445,5,TRUE,"lower_in_High"
"ENSG00000118513.19","MYB",0.0722222222222223,-0.855555555555556,-1.54148885796918,7.91538818191127e-05,0.0793079109945445,6,TRUE,"lower_in_High"
"ENSG00000166848.7","TERF2IP",0.905555555555556,0.811111111111111,0.212646934871032,8.19150637430352e-05,0.0793079109945445,7,TRUE,"higher_in_High"
"ENSG00000155011.9","DKK2",0.0833333333333333,-0.833333333333333,-1.37504178413759,8.55966396415986e-05,0.0793079109945445,8,TRUE,"lower_in_High"
"ENSG00000171643.14","S100Z",0.0888888888888889,-0.822222222222222,-1.25935477459802,0.00014151057360103,0.0793079109945445,9,TRUE,"lower_in_High"
"ENSG00000196218.13","RYR1",0.894444444444444,0.788888888888889,0.805516829803,0.000142200869082011,0.0793079109945445,10,TRUE,"higher_in_High"
"ENSG00000118508.5","RAB32",0.105555555555556,-0.788888888888889,-0.895341523768407,0.000150944611841099,0.0793079109945445,11,TRUE,"lower_in_High"
"ENSG00000148572.16","NRBF2",0.111111111111111,-0.777777777777778,-0.311169579017252,0.000170387934555386,0.0793079109945445,12,TRUE,"lower_in_High"
"ENSG00000145833.16","DDX46",0.111111111111111,-0.777777777777778,-0.155687867907431,0.000173494264219799,0.0793079109945445,13,TRUE,"lower_in_High"
"ENSG00000163918.11","RFC4",0.0999999999999999,-0.8,-0.513426643759608,0.000177636037105683,0.0793079109945445,14,TRUE,"lower_in_High"
"ENSG00000105227.16","PRX",0.888888888888889,0.777777777777778,0.749243760176001,0.000189601158776014,0.0793079109945445,15,TRUE,"higher_in_High"
"ENSG00000204001.9","LCN8",0.888888888888889,0.777777777777778,2.09176142174506,0.000194548276389709,0.0793079109945445,16,TRUE,"higher_in_High"
"ENSG00000118495.20","PLAGL1",0.116666666666667,-0.766666666666667,-0.916055531337158,0.000226301868514818,0.0793079109945445,18,TRUE,"lower_in_High"
"ENSG00000186765.12","FSCN2",0.883333333333333,0.766666666666667,0.892511343538753,0.000226301868514818,0.0793079109945445,17,TRUE,"higher_in_High"
"ENSG00000164930.12","FZD6",0.116666666666667,-0.766666666666667,-0.471425308775038,0.000245400043488615,0.0793079109945445,19,TRUE,"lower_in_High"
"ENSG00000137094.15","DNAJB5",0.883333333333333,0.766666666666667,0.828102144823961,0.000269445336076107,0.0793079109945445,20,TRUE,"higher_in_High"
