"subset","n_genes","measure","minimum","q25","median","q75","maximum"
"all_tested",15621,"abs_signed_rank_effect",0,0.133333333333333,0.266666666666667,0.422222222222222,0.922222222222222
"all_tested",15621,"signed_rank_effect",-0.922222222222222,-0.266666666666667,0,0.266666666666667,0.833333333333333
"all_tested",15621,"abs_mean_log2_fc",9.59475742901006e-06,0.0830877694651939,0.18345845255502,0.361894903217224,3.27138860811876
"all_tested",15621,"mean_log2_fc",-2.85584870435249,-0.186905769154816,-0.00931466300317929,0.180222886195808,3.27138860811876
"existing_q_lt_0.10",1765,"abs_signed_rank_effect",0.511111111111111,0.566666666666666,0.6,0.644444444444445,0.922222222222222
"existing_q_lt_0.10",1765,"signed_rank_effect",-0.922222222222222,-0.577777777777778,0.544444444444444,0.611111111111111,0.833333333333333
"existing_q_lt_0.10",1765,"abs_mean_log2_fc",0.0945903047696346,0.290484057889776,0.421534095952176,0.698310562543327,3.1129932474763
"existing_q_lt_0.10",1765,"mean_log2_fc",-2.73196647054214,-0.471425308775038,0.214508843939544,0.398806975411496,3.1129932474763
"existing_q_lt_0.10_higher_in_High",971,"abs_signed_rank_effect",0.511111111111111,0.577777777777778,0.611111111111111,0.655555555555556,0.833333333333333
"existing_q_lt_0.10_higher_in_High",971,"signed_rank_effect",0.511111111111111,0.577777777777778,0.611111111111111,0.655555555555556,0.833333333333333
"existing_q_lt_0.10_higher_in_High",971,"abs_mean_log2_fc",0.0992348687689288,0.289867705988657,0.383694539495189,0.498428082305539,3.1129932474763
"existing_q_lt_0.10_higher_in_High",971,"mean_log2_fc",0.0992348687689288,0.289867705988657,0.383694539495189,0.498428082305539,3.1129932474763
"existing_q_lt_0.10_lower_in_High",794,"abs_signed_rank_effect",0.511111111111111,0.555555555555556,0.588888888888889,0.633333333333334,0.922222222222222
"existing_q_lt_0.10_lower_in_High",794,"signed_rank_effect",-0.922222222222222,-0.633333333333334,-0.588888888888889,-0.555555555555556,-0.511111111111111
"existing_q_lt_0.10_lower_in_High",794,"abs_mean_log2_fc",0.0945903047696346,0.295173673172088,0.572842131332247,1.01628289203704,2.73196647054214
"existing_q_lt_0.10_lower_in_High",794,"mean_log2_fc",-2.73196647054214,-1.01628289203704,-0.572842131332247,-0.295173673172088,-0.0945903047696346
