"group","n","female","male","age_surgery_median_range","relative_purity_median_range","ret_fusion_partner_counts","PC1_median_range","PC2_median_range"
"R_Sporadic",12,10,2,"20.5 [14.0-27.0]","0.783 [0.649-0.953]","CCDC6-RET 6; RET-OTHER 4; NCOA4-RET 2","-13.775 [-42.137-100.631]","-18.726 [-74.252-17.535]"
"R_High",15,11,4,"23.0 [14.0-31.0]","0.822 [0.607-1.000]","CCDC6-RET 7; NCOA4-RET 4; RET-OTHER 4","-2.158 [-50.347-119.197]","24.378 [-69.320-58.135]"
