"pair","units","n_shared_genes","rho","interval_lo","interval_hi","p_two_sided","n_perm"
"normal","R_Normal x B_Normal",15459,0.375592946842463,-0.461548465812466,0.458029324785514,0.1199,9999
"tumor","R_Tumor x B_Tumor",15560,0.458922131585752,-0.391366062055744,0.393007953063303,0.0197,9999
