"unit","collection","pathway","size","ES","NES","pval","q_bh","redundant_with","leading_edge"
"R_Tumor","H","HALLMARK_MYC_TARGETS_V1",200,-0.395738608261321,-1.24472097077407,0.257548125633232,0.943438121413381,NA,"ENSG00000155959;ENSG00000143977;ENSG00000125870;ENSG00000136937;ENSG00000138668;ENSG00000006652;ENSG00000134308;ENSG00000125944;ENSG00000090621;ENSG00000108424;ENSG00000104131;ENSG00000182481;ENSG00000074201;ENSG00000106028;ENSG00000132341;ENSG00000167325;ENSG00000119335;ENSG00000151247;ENSG00000154174;ENSG00000115233;ENSG00000166226;ENSG00000165704;ENSG00000162607;ENSG00000166508;ENSG00000132646;ENSG00000110321;ENSG00000170144;ENSG00000173692;ENSG00000122565;ENSG00000109606;ENSG00000100823;ENSG00000171793;ENSG00000136450;ENSG00000129084;ENSG00000196305;ENSG00000117399;ENSG00000122566;ENSG00000070756;ENSG00000120948;ENSG00000082898;ENSG00000144381;ENSG00000115875;ENSG00000154473;ENSG00000103035;ENSG00000078668;ENSG00000114503;ENSG00000177879;ENSG00000041357;ENSG00000115942;ENSG00000120438;ENSG00000164032;ENSG00000187109;ENSG00000123374;ENSG00000196591;ENSG00000164163;ENSG00000145907;ENSG00000165732;ENSG00000104738;ENSG00000115541;ENSG00000170142;ENSG00000145386;ENSG00000076003;ENSG00000134333;ENSG00000100632;ENSG00000163938;ENSG00000100519;ENSG00000176890;ENSG00000093009;ENSG00000167088;ENSG00000164109;ENSG00000096063;ENSG00000100902;ENSG00000114942;ENSG00000134001;ENSG00000239672;ENSG00000124614;ENSG00000163918"
"R_Tumor","H","HALLMARK_CHOLESTEROL_HOMEOSTASIS",72,0.315478465457796,1.15564588009022,0.266719587219686,0.943438121413381,NA,"ENSG00000185813;ENSG00000167508;ENSG00000162236;ENSG00000169710;ENSG00000149809;ENSG00000198911;ENSG00000107331;ENSG00000147383;ENSG00000163344;ENSG00000001630;ENSG00000104823;ENSG00000110921;ENSG00000184009;ENSG00000101255;ENSG00000172893;ENSG00000160285"
"R_Tumor","H","HALLMARK_ANGIOGENESIS",30,-0.391313146679404,-1.18778964926452,0.272873841193067,0.943438121413381,NA,"ENSG00000173391;ENSG00000146072;ENSG00000168542;ENSG00000138448;ENSG00000133110;ENSG00000163430;ENSG00000139329;ENSG00000038427"
"R_Tumor","H","HALLMARK_COMPLEMENT",182,-0.327755606041892,-1.140823634112,0.321784149741139,0.943438121413381,NA,"ENSG00000104695;ENSG00000138592;ENSG00000159189;ENSG00000085063;ENSG00000182866;ENSG00000108039;ENSG00000140945;ENSG00000115159;ENSG00000176749;ENSG00000172575;ENSG00000135047;ENSG00000146070;ENSG00000043462;ENSG00000101557;ENSG00000137745;ENSG00000111144;ENSG00000158825;ENSG00000149131;ENSG00000158869;ENSG00000118503;ENSG00000107798;ENSG00000156256;ENSG00000100453;ENSG00000240065;ENSG00000164951;ENSG00000175073;ENSG00000121879;ENSG00000173372;ENSG00000163220;ENSG00000198734;ENSG00000128512;ENSG00000167083;ENSG00000113088;ENSG00000167748;ENSG00000204389;ENSG00000096968;ENSG00000125730;ENSG00000166278;ENSG00000015285;ENSG00000102780;ENSG00000135655;ENSG00000117335;ENSG00000012223;ENSG00000159403;ENSG00000115919;ENSG00000188313;ENSG00000127334;ENSG00000165806;ENSG00000114423;ENSG00000068796;ENSG00000002549;ENSG00000137752;ENSG00000085265;ENSG00000173391;ENSG00000186469;ENSG00000065135;ENSG00000169896;ENSG00000102245;ENSG00000168615;ENSG00000136943;ENSG00000141506;ENSG00000105851;ENSG00000137509;ENSG00000157227;ENSG00000065833;ENSG00000115271;ENSG00000196954;ENSG00000197045;ENSG00000254087;ENSG00000182326;ENSG00000115956;ENSG00000035862;ENSG00000203710;ENSG00000243649;ENSG00000163739;ENSG00000105825;ENSG00000000971;ENSG00000137193;ENSG00000115414;ENSG00000164305"
"R_Tumor","H","HALLMARK_MTORC1_SIGNALING",200,-0.318240253872276,-1.09002156313506,0.358846918489066,0.943438121413381,NA,"ENSG00000136628;ENSG00000163655;ENSG00000162063;ENSG00000001084;ENSG00000163738;ENSG00000170522;ENSG00000120705;ENSG00000121022;ENSG00000111144;ENSG00000140612;ENSG00000138413;ENSG00000134109;ENSG00000102393;ENSG00000105281;ENSG00000115902;ENSG00000115946;ENSG00000137501;ENSG00000060982;ENSG00000152256;ENSG00000006652;ENSG00000180957;ENSG00000099194;ENSG00000138069;ENSG00000164045;ENSG00000104549;ENSG00000216490;ENSG00000160255;ENSG00000143622;ENSG00000180817;ENSG00000115233;ENSG00000165704;ENSG00000166851;ENSG00000138071;ENSG00000161057;ENSG00000072274;ENSG00000110768;ENSG00000151012;ENSG00000135069;ENSG00000155926;ENSG00000173486;ENSG00000012660;ENSG00000105835;ENSG00000145545;ENSG00000121966;ENSG00000144381;ENSG00000124802;ENSG00000149485;ENSG00000173221;ENSG00000115091;ENSG00000070669;ENSG00000041357;ENSG00000120686;ENSG00000109084;ENSG00000127951;ENSG00000183735;ENSG00000070190;ENSG00000065911;ENSG00000146731;ENSG00000065833;ENSG00000104738;ENSG00000114480;ENSG00000115541;ENSG00000113328;ENSG00000162433;ENSG00000135842;ENSG00000116750;ENSG00000134333;ENSG00000169679;ENSG00000198431;ENSG00000100519;ENSG00000197930;ENSG00000087586;ENSG00000171848;ENSG00000228716"
"R_Tumor","H","HALLMARK_ANDROGEN_RESPONSE",97,-0.302001395564581,-1.06964324982381,0.379648549243972,0.943438121413381,NA,"ENSG00000266412;ENSG00000076554;ENSG00000104687;ENSG00000118515;ENSG00000130066;ENSG00000105810;ENSG00000129128;ENSG00000171345;ENSG00000145779;ENSG00000101558;ENSG00000153037;ENSG00000183726;ENSG00000109452;ENSG00000168118;ENSG00000134294;ENSG00000198833;ENSG00000079246;ENSG00000072110;ENSG00000099194;ENSG00000164116;ENSG00000117143;ENSG00000013375;ENSG00000033800;ENSG00000102172;ENSG00000184254;ENSG00000163110;ENSG00000151092;ENSG00000140526;ENSG00000138696;ENSG00000167034;ENSG00000086062;ENSG00000124225;ENSG00000062725;ENSG00000012660;ENSG00000065135;ENSG00000149485;ENSG00000184012;ENSG00000158711;ENSG00000138448;ENSG00000166451"
"R_Tumor","H","HALLMARK_ADIPOGENESIS",193,0.291435494731516,1.06049752767606,0.387803905938621,0.943438121413381,NA,"ENSG00000079435;ENSG00000010256;ENSG00000109016;ENSG00000148343;ENSG00000100412;ENSG00000141959;ENSG00000099795;ENSG00000168497;ENSG00000167468;ENSG00000130717;ENSG00000127948;ENSG00000146701;ENSG00000179091;ENSG00000133027;ENSG00000122971;ENSG00000197150;ENSG00000170525;ENSG00000084234;ENSG00000130203;ENSG00000104823;ENSG00000115255;ENSG00000124782;ENSG00000128311;ENSG00000123080;ENSG00000100075;ENSG00000073060;ENSG00000127884;ENSG00000105379;ENSG00000078061;ENSG00000067829;ENSG00000100612;ENSG00000004455;ENSG00000120915;ENSG00000142655;ENSG00000099968;ENSG00000185000;ENSG00000135424;ENSG00000177156;ENSG00000197885;ENSG00000172893;ENSG00000213619;ENSG00000163931;ENSG00000177469;ENSG00000157184;ENSG00000117118;ENSG00000171723;ENSG00000088682;ENSG00000173511;ENSG00000095321;ENSG00000109113;ENSG00000196502;ENSG00000123243;ENSG00000250479;ENSG00000213316;ENSG00000110871;ENSG00000183048;ENSG00000019144;ENSG00000130304;ENSG00000127540;ENSG00000142168;ENSG00000115459;ENSG00000150593"
"R_Tumor","H","HALLMARK_MYOGENESIS",168,0.259325064603649,1.04308385262072,0.391330166270784,0.943438121413381,NA,"ENSG00000196218;ENSG00000188157;ENSG00000173599;ENSG00000196576;ENSG00000140859;ENSG00000197879;ENSG00000197694;ENSG00000058404;ENSG00000108840;ENSG00000164708;ENSG00000103197;ENSG00000131730;ENSG00000161281;ENSG00000183963;ENSG00000196557;ENSG00000068976;ENSG00000152556;ENSG00000178188;ENSG00000108515;ENSG00000196465;ENSG00000071553;ENSG00000116604;ENSG00000184481;ENSG00000099330;ENSG00000171298;ENSG00000135424;ENSG00000036448;ENSG00000114812;ENSG00000068903;ENSG00000105221;ENSG00000101605;ENSG00000084764;ENSG00000095321;ENSG00000166165;ENSG00000148180;ENSG00000108639;ENSG00000100345;ENSG00000100151;ENSG00000109610;ENSG00000148400;ENSG00000022267;ENSG00000181019;ENSG00000198947;ENSG00000197905;ENSG00000111907;ENSG00000162104;ENSG00000130528;ENSG00000160808;ENSG00000120896;ENSG00000106992;ENSG00000113739;ENSG00000114854;ENSG00000142192;ENSG00000185437;ENSG00000143847;ENSG00000170175;ENSG00000034713;ENSG00000035664;ENSG00000082781;ENSG00000105329"
"R_Tumor","H","HALLMARK_TNFA_SIGNALING_VIA_NFKB",196,-0.324144746461522,-1.07052825558711,0.396885605909363,0.943438121413381,NA,"ENSG00000109321;ENSG00000145779;ENSG00000070961;ENSG00000163660;ENSG00000173812;ENSG00000115009;ENSG00000189067;ENSG00000177426;ENSG00000164251;ENSG00000125538;ENSG00000118503;ENSG00000081041;ENSG00000176170;ENSG00000171621;ENSG00000184371;ENSG00000137267;ENSG00000113916;ENSG00000122861;ENSG00000115008;ENSG00000162924;ENSG00000123610;ENSG00000067082;ENSG00000163110;ENSG00000116717;ENSG00000136048;ENSG00000133639;ENSG00000122641;ENSG00000121797;ENSG00000104312;ENSG00000168685;ENSG00000115919;ENSG00000163734;ENSG00000086062;ENSG00000124225;ENSG00000121594;ENSG00000178860;ENSG00000275302;ENSG00000173391;ENSG00000185215;ENSG00000108691;ENSG00000169508;ENSG00000049249;ENSG00000196449;ENSG00000164400;ENSG00000105835;ENSG00000159128;ENSG00000107968;ENSG00000232810;ENSG00000163661;ENSG00000110330;ENSG00000110944;ENSG00000110848;ENSG00000150782;ENSG00000196371;ENSG00000154640;ENSG00000184014;ENSG00000140379;ENSG00000277443;ENSG00000131459;ENSG00000115956;ENSG00000023445;ENSG00000163739;ENSG00000145632;ENSG00000078401"
"R_Tumor","H","HALLMARK_INTERFERON_GAMMA_RESPONSE",197,-0.424999182783323,-1.07882210581084,0.443290734824281,0.943438121413381,NA,"ENSG00000140853;ENSG00000166710;ENSG00000113532;ENSG00000100567;ENSG00000119922;ENSG00000109320;ENSG00000111335;ENSG00000177409;ENSG00000073756;ENSG00000169245;ENSG00000169248;ENSG00000106588;ENSG00000141574;ENSG00000145649;ENSG00000136244;ENSG00000092010;ENSG00000131203;ENSG00000119917;ENSG00000126067;ENSG00000138755;ENSG00000077238;ENSG00000135899;ENSG00000107201;ENSG00000173821;ENSG00000170581;ENSG00000124256;ENSG00000135148;ENSG00000100644;ENSG00000137496;ENSG00000130303;ENSG00000100385;ENSG00000140280;ENSG00000104432;ENSG00000118640;ENSG00000026103;ENSG00000138378;ENSG00000055332;ENSG00000043462;ENSG00000204632;ENSG00000128604;ENSG00000149131;ENSG00000139626;ENSG00000118503;ENSG00000137965;ENSG00000240065;ENSG00000162692;ENSG00000197329;ENSG00000123609;ENSG00000196116;ENSG00000196396;ENSG00000138035;ENSG00000122644;ENSG00000092098;ENSG00000121858;ENSG00000185201;ENSG00000120217;ENSG00000019582;ENSG00000138600;ENSG00000150337;ENSG00000064012;ENSG00000123610;ENSG00000216490;ENSG00000096968;ENSG00000156587;ENSG00000158987;ENSG00000133639;ENSG00000159403;ENSG00000174944;ENSG00000104312;ENSG00000171051;ENSG00000159110;ENSG00000188313;ENSG00000165806;ENSG00000125245;ENSG00000002549;ENSG00000172936;ENSG00000137752;ENSG00000026751;ENSG00000183347;ENSG00000101347;ENSG00000185215;ENSG00000108691;ENSG00000183486;ENSG00000105835;ENSG00000179583;ENSG00000213928;ENSG00000175354;ENSG00000110848;ENSG00000137265;ENSG00000196126;ENSG00000196735;ENSG00000127951;ENSG00000114013;ENSG00000174600;ENSG00000204257;ENSG00000065911;ENSG00000124151;ENSG00000196954;ENSG00000100368;ENSG00000182326;ENSG00000243649;ENSG00000000971;ENSG00000137193;ENSG00000145416;ENSG00000140968;ENSG00000172331;ENSG00000164305"
